family,T,noise,keep,flip_p,rep,seed,model,chi_sha256,record_ceiling,signature_frac,accuracy,request_resolution_rate,unsupported_counterfactual_rate,contradicted_rate,brier_act,pause_violation_rate,deficit_inference_rate,n_steps,n_paused,n_scope
W-absence,300,0.1,1.0,0.05,0,1002304068,M0,689752ec2d69,1.0,0.699,0.913,0.6957,0.087,0.0401,0.0912,,0.2885,299,0,260
W-absence,300,0.1,1.0,0.05,0,1002304068,M1,689752ec2d69,1.0,0.699,0.913,0.6957,0.087,0.0401,0.0796,,0.2885,299,0,260
W-absence,300,0.1,1.0,0.05,0,1002304068,M2,689752ec2d69,1.0,0.699,1.0,0.7793,0.0,0.0301,0.0092,,0.2885,299,0,260
W-absence,300,0.1,1.0,0.05,0,1002304068,M1+pausa,689752ec2d69,1.0,0.699,0.913,0.6957,0.087,0.0401,0.0796,,0.2885,299,0,260
W-absence,300,0.1,1.0,0.05,1,581354245,M0,689752ec2d69,1.0,0.699,0.913,0.6756,0.087,0.0502,0.0747,,0.2912,299,0,261
W-absence,300,0.1,1.0,0.05,1,581354245,M1,689752ec2d69,1.0,0.699,0.913,0.6756,0.087,0.0502,0.0796,,0.2912,299,0,261
W-absence,300,0.1,1.0,0.05,1,581354245,M2,689752ec2d69,1.0,0.699,1.0,0.7559,0.0,0.0401,0.0092,,0.2912,299,0,261
W-absence,300,0.1,1.0,0.05,1,581354245,M1+pausa,689752ec2d69,1.0,0.699,0.913,0.6756,0.087,0.0502,0.0796,,0.2912,299,0,261
W-absence,300,0.1,1.0,0.05,2,160141510,M0,689752ec2d69,1.0,0.699,0.9565,0.6957,0.0435,0.1003,0.1089,,0.2958,299,0,240
W-absence,300,0.1,1.0,0.05,2,160141510,M1,689752ec2d69,1.0,0.699,0.9565,0.6957,0.0435,0.1003,0.0448,,0.2958,299,0,240
W-absence,300,0.1,1.0,0.05,2,160141510,M2,689752ec2d69,1.0,0.699,1.0,0.7358,0.0,0.087,0.0096,,0.2958,299,0,240
W-absence,300,0.1,1.0,0.05,2,160141510,M1+pausa,689752ec2d69,1.0,0.699,0.9565,0.6957,0.0435,0.1003,0.0448,,0.2958,299,0,240
W-absence,300,0.1,1.0,0.05,3,277913991,M0,689752ec2d69,1.0,0.699,0.9599,0.6823,0.0401,0.0334,0.1296,,0.2956,299,0,274
W-absence,300,0.1,1.0,0.05,3,277913991,M1,689752ec2d69,1.0,0.699,0.9599,0.6823,0.0401,0.0334,0.0421,,0.2956,299,0,274
