family,T,noise,keep,flip_p,rep,seed,model,chi_sha256,record_ceiling,signature_frac,accuracy,request_resolution_rate,unsupported_counterfactual_rate,contradicted_rate,brier_act,pause_violation_rate,deficit_inference_rate,n_steps,n_paused,n_scope
W-absence,300,0.05,1.0,0.05,0,702246019,M0,689752ec2d69,1.0,0.699,0.9197,0.6756,0.0803,0.0401,0.0958,,0.2992,299,0,254
W-absence,300,0.05,1.0,0.05,0,702246019,M1,689752ec2d69,1.0,0.699,0.9197,0.6756,0.0803,0.0401,0.0742,,0.2992,299,0,254
W-absence,300,0.05,1.0,0.05,0,702246019,M2,689752ec2d69,1.0,0.699,1.0,0.7425,0.0,0.0234,0.0092,,0.2992,299,0,254
W-absence,300,0.05,1.0,0.05,0,702246019,M1+pausa,689752ec2d69,1.0,0.699,0.9197,0.6756,0.0803,0.0401,0.0742,,0.2992,299,0,254
W-absence,300,0.05,1.0,0.05,1,817913282,M0,689752ec2d69,1.0,0.699,0.913,0.709,0.087,0.1003,0.0862,,0.278,299,0,241
W-absence,300,0.05,1.0,0.05,1,817913282,M1,689752ec2d69,1.0,0.699,0.913,0.709,0.087,0.1003,0.0796,,0.278,299,0,241
W-absence,300,0.05,1.0,0.05,1,817913282,M2,689752ec2d69,1.0,0.699,1.0,0.786,0.0,0.0736,0.0092,,0.278,299,0,241
W-absence,300,0.05,1.0,0.05,1,817913282,M1+pausa,689752ec2d69,1.0,0.699,0.913,0.709,0.087,0.1003,0.0796,,0.278,299,0,241
W-absence,300,0.05,1.0,0.05,2,468520449,M0,689752ec2d69,1.0,0.699,0.9197,0.6957,0.0803,0.0736,0.0988,,0.3083,299,0,240
W-absence,300,0.05,1.0,0.05,2,468520449,M1,689752ec2d69,1.0,0.699,0.9197,0.6957,0.0803,0.0736,0.0742,,0.3083,299,0,240
W-absence,300,0.05,1.0,0.05,2,468520449,M2,689752ec2d69,1.0,0.699,1.0,0.7692,0.0,0.0435,0.0092,,0.3083,299,0,240
W-absence,300,0.05,1.0,0.05,2,468520449,M1+pausa,689752ec2d69,1.0,0.699,0.9197,0.6957,0.0803,0.0736,0.0742,,0.3083,299,0,240
W-absence,300,0.05,1.0,0.05,3,49692480,M0,689752ec2d69,1.0,0.699,0.9398,0.6622,0.0602,0.0234,0.1085,,0.3062,299,0,258
W-absence,300,0.05,1.0,0.05,3,49692480,M1,689752ec2d69,1.0,0.699,0.9398,0.6622,0.0602,0.0234,0.0582,,0.3062,299,0,258
W-absence,300,0.05,1.0,0.05,3,49692480,M2,689752ec2d69,1.0,0.699,1.0,0.7124,0.0,0.0201,0.0094,,0.3062,299,0,258
W-absence,300,0.05,1.0,0.05,3,49692480,M1+pausa,689752ec2d69,1.0,0.699,0.9398,0.6622,0.0602,0.0234,0.0582,,0.3062,299,0,258
