T,ax_H,ax_M,ax_N,exact,keep,missed,node,noise,nonlinear_h,rep,s_axis,s_correct,selected,spurious,gain_H,gain_H_u_alignment,gain_M,gain_M1_vs_M0,gain_M_vs_AR1,gain_M_vs_SS,gain_N,gain_N_null_q95,gain_S,gain_S_null_q95,gain_S_q_frac,sw_mae,sw_matched,sw_n_planted,sw_n_recovered,sw_precision,sw_recall
600,0,0,0,1,1.0,0,M1,0.05,0,0,1,1,M1,0,-0.0403,0.0804,-0.0683,0.989,-0.0683,-0.0488,-0.0304,-0.0018,0.9393,0.0895,0.8073,,,,,,
600,0,0,0,1,1.0,0,M1,0.05,0,1,1,1,M1,0,-0.007,0.1396,-0.016,0.8874,-0.016,-0.0154,-0.0021,0.0108,0.6093,-0.0213,0.7222,,,,,,
600,0,0,0,1,1.0,0,M1,0.05,0,2,1,1,M1,0,0.0009,0.1836,-0.0023,0.9169,-0.0023,0.0002,-0.0022,0.0003,0.5793,0.1533,0.7001,,,,,,
600,0,0,1,0,1.0,0,M1,0.05,1,0,0,0,M1+N,1,0.0139,0.1799,-0.0204,0.93,-0.0022,-0.0204,0.1387,0.0072,0.8041,0.0026,0.348,,,,,,
600,0,0,0,1,1.0,0,M1,0.05,1,1,1,1,M1,0,-0.0105,0.1141,-0.025,0.9326,-0.025,-0.0153,-0.083,0.0108,0.7584,0.0062,0.6938,,,,,,
600,0,1,1,0,1.0,0,M1,0.05,1,2,1,1,M1+N+M,1,-0.1171,0.2247,0.0351,0.7056,0.0357,0.0351,0.1075,0.0034,0.8711,0.0386,0.7461,,,,,,
600,0,0,0,1,0.7,0,M1,0.05,0,0,1,1,M1,0,-0.0109,0.2202,,0.7624,,,-0.0057,0.0197,0.7505,-0.0097,0.8112,,,,,,
600,0,0,0,1,0.7,0,M1,0.05,0,1,1,1,M1,0,-0.0099,0.0088,,0.9113,,,0.0018,0.009,0.5753,0.005,0.7632,,,,,,
600,0,0,0,1,0.7,0,M1,0.05,0,2,1,1,M1,0,-0.0029,0.0,,0.7977,,,-0.0907,0.0107,0.5731,0.1122,0.7997,,,,,,
600,0,0,0,1,0.7,0,M1,0.05,1,0,1,1,M1,0,-0.0025,0.0673,,0.3029,,,-0.1019,0.0004,0.6703,0.1204,0.6399,,,,,,
600,0,0,0,1,0.7,0,M1,0.05,1,1,1,1,M1,0,-0.002,0.0228,,0.5309,,,-0.0155,0.0128,0.766,-0.0148,0.7682,,,,,,
600,0,0,0,1,0.7,0,M1,0.05,1,2,1,1,M1,0,-0.0227,0.0814,-0.1547,0.8578,-0.1547,-0.11,0.0209,0.016,0.4716,0.0027,0.6923,,,,,,
600,1,0,0,0,0.5,0,M1,0.05,0,0,1,1,M1+H,1,0.0701,0.1491,,0.9019,,,-0.0464,-0.0865,0.43,0.0156,0.7534,,,,,,
600,0,0,0,1,0.5,0,M1,0.05,0,1,1,1,M1,0,-0.1021,0.0,,0.4648,,,-3.9039,-0.045,0.6731,0.0111,0.7171,,,,,,
600,0,0,0,1,0.5,0,M1,0.05,0,2,1,1,M1,0,-0.1242,0.0541,,0.8981,,,-0.2151,0.0341,0.6556,0.1198,0.6791,,,,,,
600,0,0,0,1,0.5,0,M1,0.05,1,0,1,1,M1,0,0.0104,0.1493,,0.8437,,,-0.0689,0.0169,0.5373,0.0265,0.787,,,,,,
600,0,0,0,1,0.5,0,M1,0.05,1,1,1,1,M1,0,-0.0863,0.0,,0.0771,,,-0.2439,0.0185,0.561,0.0204,0.6725,,,,,,
