node,T,noise,keep,seed,verdict,fires,stat,gain_ss,gain_sw,hardest
M1,300,0.05,1.0,0,passa,0,-0.163395,-0.163395,-0.128849,state_space
M1,300,0.05,1.0,1,passa,0,-0.011628,-0.011628,0.016416,state_space
M1,300,0.05,1.0,2,passa,0,-0.011961,-0.011961,0.02438,state_space
M1,300,0.05,1.0,3,passa,0,-0.250433,-0.250433,-0.213504,state_space
M1,300,0.05,1.0,4,passa,0,-4.564379,-4.564379,-4.058351,state_space
M1,300,0.05,1.0,5,passa,0,-0.038521,-0.038521,-0.009117,state_space
M1,300,0.05,1.0,6,passa,0,-0.021833,-0.021833,-0.014513,state_space
M1,300,0.05,1.0,7,passa,0,-0.020098,-0.020098,0.011245,state_space
M1,300,0.05,0.7,0,passa,0,-0.356758,-0.356758,-0.341421,state_space
M1,300,0.05,0.7,1,passa,0,-0.001532,-0.001532,0.034605,state_space
M1,300,0.05,0.7,2,passa,0,-0.003999,-0.003999,0.046339,state_space
M1,300,0.05,0.7,3,passa,0,-0.402203,-0.402203,-0.346787,state_space
M1,300,0.05,0.7,4,passa,0,-5.749268,-5.749268,-5.339764,state_space
M1,300,0.05,0.7,5,passa,0,-0.067656,-0.067656,0.004457,state_space
M1,300,0.05,0.7,6,passa,0,-0.03932,-0.03932,-0.015471,state_space
M1,300,0.05,0.7,7,passa,0,-0.033813,-0.033813,0.041863,state_space
M1,300,0.3,1.0,0,passa,0,-0.049827,-0.049827,0.142235,state_space
M1,300,0.3,1.0,1,passa,0,-0.013663,-0.013663,0.056019,state_space
M1,300,0.3,1.0,2,passa,0,0.005326,0.005326,0.087845,state_space
M1,300,0.3,1.0,3,passa,0,-0.004458,-0.004458,0.0699,state_space
M1,300,0.3,1.0,4,passa,0,-0.345715,-0.345715,0.382169,state_space
M1,300,0.3,1.0,5,passa,0,-0.004266,-0.004266,0.059383,state_space
M1,300,0.3,1.0,6,passa,0,-0.011906,-0.011906,0.112757,state_space
M1,300,0.3,1.0,7,passa,0,-0.003236,-0.003236,0.107908,state_space
M1,300,0.3,0.7,0,passa,0,-0.074794,-0.074794,0.115007,state_space
M1,300,0.3,0.7,1,passa,0,0.009429,0.009429,0.14514,state_space
M1,300,0.3,0.7,2,passa,0,0.015854,0.015854,0.128949,state_space
M1,300,0.3,0.7,3,passa,0,-0.004539,-0.004539,0.106739,state_space
M1,300,0.3,0.7,4,passa,0,-0.115069,-0.115069,0.386941,state_space
M1,300,0.3,0.7,5,passa,0,0.020845,0.020845,0.113802,state_space
M1,300,0.3,0.7,6,passa,0,0.013325,0.013325,0.116674,state_space
M1,300,0.3,0.7,7,passa,0,0.017148,0.017148,0.155597,state_space
M1,600,0.05,1.0,0,passa,0,-0.143669,-0.143669,-0.134303,state_space
M1,600,0.05,1.0,1,passa,0,-0.011555,-0.011555,0.004147,state_space
M1,600,0.05,1.0,2,passa,0,-0.002623,-0.002623,0.013737,state_space
M1,600,0.05,1.0,3,passa,0,-0.217909,-0.217909,-0.200913,state_space
M1,600,0.05,1.0,4,passa,0,-3.274406,-3.274406,-2.971317,state_space
M1,600,0.05,1.0,5,passa,0,-0.031424,-0.031424,-0.020645,state_space
M1,600,0.05,1.0,6,passa,0,-0.004678,-0.004678,0.001339,state_space
M1,600,0.05,1.0,7,passa,0,-0.017019,-0.017019,-0.004624,state_space
M1,600,0.05,0.7,0,passa,0,-0.283463,-0.283463,-0.240431,state_space
M1,600,0.05,0.7,1,passa,0,-0.001194,-0.001194,0.009133,state_space
M1,600,0.05,0.7,2,passa,0,-0.006059,-0.004012,-0.006059,switching
M1,600,0.05,0.7,3,passa,0,-0.438229,-0.438229,-0.404663,state_space
M1,600,0.05,0.7,4,passa,0,-4.978382,-4.978382,-4.539991,state_space
M1,600,0.05,0.7,5,passa,0,-0.088563,-0.088563,-0.08217,state_space
M1,600,0.05,0.7,6,passa,0,-0.043962,-0.043962,-0.031433,state_space
M1,600,0.05,0.7,7,passa,0,-0.034603,-0.034603,0.004443,state_space
M1,600,0.3,1.0,0,passa,0,-0.015405,-0.015405,0.149591,state_space
M1,600,0.3,1.0,1,passa,0,0.000262,0.000262,0.066368,state_space
M1,600,0.3,1.0,2,passa,0,-0.002913,-0.002913,0.059727,state_space
M1,600,0.3,1.0,3,passa,0,-0.006843,-0.006843,0.04672,state_space
M1,600,0.3,1.0,4,passa,0,-0.19745,-0.19745,0.311365,state_space
M1,600,0.3,1.0,5,passa,0,0.004271,0.004271,0.076285,state_space
M1,600,0.3,1.0,6,passa,0,-0.001755,-0.001755,0.089061,state_space
M1,600,0.3,1.0,7,passa,0,-0.00639,-0.00639,0.078672,state_space
M1,600,0.3,0.7,0,passa,0,0.002436,0.002436,0.140276,state_space
M1,600,0.3,0.7,1,passa,0,0.011123,0.011123,0.069615,state_space
M1,600,0.3,0.7,2,passa,0,-0.00537,-0.00537,0.057784,state_space
M1,600,0.3,0.7,3,passa,0,-0.004799,-0.004799,0.058116,state_space
M1,600,0.3,0.7,4,passa,0,-0.13481,-0.13481,0.210698,state_space
M1,600,0.3,0.7,5,passa,0,0.008687,0.008687,0.089051,state_space
M1,600,0.3,0.7,6,passa,0,0.011576,0.011576,0.091533,state_space
M1,600,0.3,0.7,7,passa,0,-0.00239,-0.00239,0.101604,state_space
M1+H,300,0.05,1.0,0,passa,0,-0.403146,0.046308,-0.403146,switching
M1+H,300,0.05,1.0,1,passa,0,-0.16724,0.020145,-0.16724,switching
M1+H,300,0.05,1.0,2,passa,0,-0.360173,0.151798,-0.360173,switching
M1+H,300,0.05,1.0,3,passa,0,-0.165938,0.050833,-0.165938,switching
M1+H,300,0.05,1.0,4,passa,0,-2.329853,-0.542268,-2.329853,switching
M1+H,300,0.05,1.0,5,passa,0,-0.126572,-0.02441,-0.126572,switching
M1+H,300,0.05,1.0,6,passa,0,-0.214031,0.040629,-0.214031,switching
M1+H,300,0.05,1.0,7,passa,0,-0.681236,0.066338,-0.681236,switching
M1+H,300,0.05,0.7,0,passa,0,-0.385914,-0.044845,-0.385914,switching
M1+H,300,0.05,0.7,1,passa,0,-0.13215,0.02842,-0.13215,switching
M1+H,300,0.05,0.7,2,passa,0,-0.389932,0.22816,-0.389932,switching
M1+H,300,0.05,0.7,3,passa,0,-0.099552,-0.018637,-0.099552,switching
M1+H,300,0.05,0.7,4,passa,0,-1.904952,-0.881052,-1.904952,switching
M1+H,300,0.05,0.7,5,passa,0,-0.013353,-0.013353,0.017324,state_space
M1+H,300,0.05,0.7,6,passa,0,-0.028843,0.018909,-0.028843,switching
M1+H,300,0.05,0.7,7,passa,0,-0.215439,0.058161,-0.215439,switching
M1+H,300,0.3,1.0,0,falha,1,0.03101,0.03101,0.044251,state_space
M1+H,300,0.3,1.0,1,passa,0,0.005289,0.005289,0.024602,state_space
M1+H,300,0.3,1.0,2,falha,1,0.052406,0.055684,0.052406,switching
M1+H,300,0.3,1.0,3,passa,0,0.00155,0.00155,0.121301,state_space
M1+H,300,0.3,1.0,4,passa,0,0.011323,0.011323,0.021679,state_space
M1+H,300,0.3,1.0,5,passa,0,0.006374,0.006374,0.070741,state_space
M1+H,300,0.3,1.0,6,passa,0,0.007579,0.007579,0.012621,state_space
M1+H,300,0.3,1.0,7,passa,0,0.01654,0.01654,0.07429,state_space
M1+H,300,0.3,0.7,0,passa,0,0.010511,0.010511,0.10776,state_space
M1+H,300,0.3,0.7,1,passa,0,0.018287,0.018287,0.040474,state_space
M1+H,300,0.3,0.7,2,falha,1,0.072913,0.072913,0.117368,state_space
M1+H,300,0.3,0.7,3,passa,0,0.004093,0.004093,0.162714,state_space
M1+H,300,0.3,0.7,4,passa,0,-0.004399,-0.004399,0.010117,state_space
M1+H,300,0.3,0.7,5,passa,0,0.012087,0.012087,0.062635,state_space
M1+H,300,0.3,0.7,6,passa,0,0.017833,0.017833,0.0722,state_space
M1+H,300,0.3,0.7,7,falha,1,0.051993,0.051993,0.100879,state_space
M1+H,600,0.05,1.0,0,passa,0,-0.520511,0.085604,-0.520511,switching
M1+H,600,0.05,1.0,1,passa,0,-0.173043,0.011335,-0.173043,switching
M1+H,600,0.05,1.0,2,passa,0,-0.441955,0.081718,-0.441955,switching
M1+H,600,0.05,1.0,3,passa,0,-0.377507,-0.022604,-0.377507,switching
M1+H,600,0.05,1.0,4,passa,0,-3.309388,-0.254969,-3.309388,switching
M1+H,600,0.05,1.0,5,passa,0,-0.206201,0.02705,-0.206201,switching
M1+H,600,0.05,1.0,6,passa,0,-0.417626,0.10577,-0.417626,switching
M1+H,600,0.05,1.0,7,passa,0,-0.261836,0.098959,-0.261836,switching
M1+H,600,0.05,0.7,0,passa,0,-0.603772,-0.011924,-0.603772,switching
M1+H,600,0.05,0.7,1,passa,0,-0.046558,0.018274,-0.046558,switching
M1+H,600,0.05,0.7,2,passa,0,-0.566413,0.087215,-0.566413,switching
M1+H,600,0.05,0.7,3,passa,0,-0.385961,-0.110858,-0.385961,switching
M1+H,600,0.05,0.7,4,passa,0,-4.294709,-0.90727,-4.294709,switching
M1+H,600,0.05,0.7,5,passa,0,-0.124513,0.023394,-0.124513,switching
M1+H,600,0.05,0.7,6,passa,0,-0.456365,0.074426,-0.456365,switching
M1+H,600,0.05,0.7,7,passa,0,-0.167835,0.120342,-0.167835,switching
