T,ax_H,ax_M,ax_N,exact,keep,missed,node,noise,nonlinear_h,rep,s_axis,s_correct,selected,spurious,gain_H,gain_H_u_alignment,gain_M,gain_M1_vs_M0,gain_M_vs_AR1,gain_M_vs_SS,gain_N,gain_N_null_q95,gain_S,gain_S_null_q95,gain_S_q_frac,sw_mae,sw_matched,sw_n_planted,sw_n_recovered,sw_precision,sw_recall
300,0,0,0,1,1.0,0,M1,0.05,0,0,1,1,M1,0,-0.0029,0.2551,-0.0698,0.8739,-0.0698,-0.0355,-0.7242,-0.0904,0.827,0.6215,0.7177,,,,,,
300,0,0,0,1,1.0,0,M1,0.05,0,1,1,1,M1,0,-0.0318,0.0685,-0.115,0.9126,-0.0693,-0.115,-0.0545,0.0095,0.6837,0.0357,0.7282,,,,,,
300,1,0,0,0,1.0,0,M1,0.3,0,0,0,0,M1+H,1,0.0321,0.1269,-0.0433,0.4479,-0.0151,-0.0433,-0.0223,0.0212,0.1789,0.0219,0.4181,,,,,,
300,0,0,0,1,1.0,0,M1,0.3,0,1,1,1,M1,0,0.0293,0.1738,-0.0319,0.8067,0.0264,-0.0319,-0.0031,0.0115,0.443,-0.0167,0.5029,,,,,,
600,0,0,0,1,1.0,0,M1,0.05,0,0,1,1,M1,0,-0.0403,0.0804,-0.0683,0.989,-0.0683,-0.0488,-0.0304,-0.0018,0.9393,0.0895,0.8073,,,,,,
600,0,0,0,1,1.0,0,M1,0.05,0,1,1,1,M1,0,-0.007,0.1396,-0.016,0.8874,-0.016,-0.0154,-0.0021,0.0108,0.6093,-0.0213,0.7222,,,,,,
600,0,0,0,1,1.0,0,M1,0.3,0,0,0,0,M1,0,0.0136,0.0011,0.0035,0.651,0.0228,0.0035,-0.0035,0.0053,0.147,0.0071,0.4364,,,,,,
600,0,0,0,1,1.0,0,M1,0.3,0,1,0,0,M1,0,0.0078,0.0996,-0.0193,0.3618,0.0425,-0.0193,-0.0151,0.0088,0.2452,0.0063,0.452,,,,,,
300,0,0,0,0,1.0,1,M1+N,0.05,0,0,1,1,M1,0,0.0052,0.1329,-0.0339,0.6513,-0.0339,0.0608,0.0183,0.0074,0.9783,0.0167,0.7074,,,,,,
300,0,1,1,0,1.0,0,M1+N,0.05,0,1,1,1,M1+N+M,1,0.0122,0.0006,0.0647,0.9455,0.0647,0.0847,0.1567,-0.0088,0.9137,0.6888,0.831,,,,,,
300,0,0,0,0,1.0,1,M1+N,0.3,0,0,0,0,M1,0,0.0064,0.1141,-0.0188,0.1984,0.0618,-0.0188,0.0056,0.0109,0.5791,0.0093,0.4828,,,,,,
300,0,0,0,0,1.0,1,M1+N,0.3,0,1,0,0,M1,0,0.0284,0.1166,-0.1234,0.5423,0.0054,-0.1234,-0.0337,0.0054,0.6249,0.0074,0.3357,,,,,,
600,0,0,0,0,1.0,1,M1+N,0.05,0,0,1,1,M1,0,0.0107,0.0965,-0.0189,0.7242,-0.0189,0.0705,-0.0064,0.0081,0.9248,0.0102,0.5129,,,,,,
600,0,0,1,1,1.0,0,M1+N,0.05,0,1,1,1,M1+N,0,-0.1697,0.2039,-0.0236,0.7912,-0.0236,0.0049,0.139,0.0081,0.8928,-0.0186,0.7548,,,,,,
600,0,0,0,0,1.0,1,M1+N,0.3,0,0,0,0,M1,0,0.0247,0.0684,-0.0335,0.5504,0.0169,-0.0335,-0.0057,0.0072,0.1092,0.0117,0.4151,,,,,,
600,0,0,0,0,1.0,1,M1+N,0.3,0,1,0,0,M1,0,0.0074,0.0,-0.0154,0.3697,0.0891,-0.0154,-0.0114,0.0091,0.3379,0.0033,0.4536,,,,,,
300,0,0,0,0,1.0,1,M1+H,0.05,0,0,1,1,M1,0,0.0028,0.0782,-0.0984,0.8824,-0.0984,-0.0631,-0.0443,0.0173,0.5555,0.024,0.6552,1.0,2,3,2,1.0,0.667
300,1,0,0,1,1.0,0,M1+H,0.05,0,1,1,1,M1+H,0,0.2191,0.0,-0.05,0.8359,-0.0307,-0.05,-2.3741,0.0124,0.6295,0.0073,0.6119,0.5,2,2,2,1.0,1.0
300,0,0,0,0,1.0,1,M1+H,0.3,0,0,1,1,M1,0,-0.109,0.144,-0.1233,0.2016,-0.1233,-0.0351,-0.241,0.0118,0.116,0.0097,0.5293,0.5,2,6,5,0.4,0.333
300,0,0,0,0,1.0,1,M1+H,0.3,0,1,0,0,M0,0,,,,-8.4899,,,,,,,,nan,0,5,0,0.0,0.0
600,0,0,0,0,1.0,1,M1+H,0.05,0,0,1,1,M1,0,0.0173,0.1221,0.0141,0.8418,0.0165,0.0141,-0.0367,0.0061,0.5199,-0.0109,0.6749,1.25,4,8,6,0.667,0.5
600,1,0,0,1,1.0,0,M1+H,0.05,0,1,1,1,M1+H,0,0.1483,0.0955,-0.0415,0.8345,0.0447,-0.0415,-0.0301,0.004,0.69,0.0615,0.6363,2.2,5,7,5,1.0,0.714
600,1,0,0,1,1.0,0,M1+H,0.3,0,0,0,0,M1+H,0,0.0335,0.0852,-0.0293,0.4069,0.0453,-0.0293,0.0213,0.0039,0.2172,0.0209,0.4057,1.5,4,4,8,0.5,1.0
600,0,0,0,0,1.0,1,M1+H,0.3,0,1,0,0,M1,0,0.0263,0.2019,0.0021,0.559,0.023,0.0021,0.0241,0.0079,0.056,0.0041,0.4507,5.0,2,5,3,0.667,0.4
300,0,0,0,0,1.0,1,M1+M,0.05,0,0,1,1,M1,0,-0.1033,0.1518,-0.0612,0.5415,0.1788,-0.0612,-0.0797,0.0009,0.9725,0.1024,0.5221,,,,,,
300,0,0,0,0,1.0,1,M1+M,0.05,0,1,1,1,M1,0,-0.0596,0.0347,-0.0227,0.5475,-0.0037,-0.0227,-0.0051,0.024,0.5556,0.0135,0.7154,,,,,,
300,0,1,0,1,1.0,0,M1+M,0.3,0,0,0,0,M1+M,0,-0.0365,0.1269,0.0898,0.1665,0.2431,0.0898,-0.9479,0.0013,0.5492,0.0181,0.3411,,,,,,
300,0,0,0,0,1.0,1,M1+M,0.3,0,1,0,0,M1,0,-0.071,0.1102,-0.0854,0.2344,0.1026,-0.0854,-0.003,0.0131,0.9806,0.0052,0.3963,,,,,,
600,0,0,0,0,1.0,1,M1+M,0.05,0,0,1,1,M1,0,0.0102,0.2241,-0.0503,0.4348,-0.0116,-0.0503,-0.0015,0.0073,0.0764,-0.0017,0.5068,,,,,,
600,0,0,0,0,1.0,1,M1+M,0.05,0,1,1,1,M1,0,-0.0291,0.0393,-0.002,0.4915,-0.002,0.0001,-0.0059,0.0061,0.1851,0.0102,0.5642,,,,,,
600,0,0,0,0,1.0,1,M1+M,0.3,0,0,0,0,M1,0,-0.0194,0.2367,-0.004,0.4496,0.0112,-0.004,0.0099,0.0084,0.0144,0.0036,0.5237,,,,,,
600,0,0,0,0,1.0,1,M1+M,0.3,0,1,0,0,M0,0,,,,-0.5182,,,,,,,,,,,,,
