T,ax_H,ax_M,ax_N,exact,keep,missed,n_hardest,node,noise,nonlinear_h,rep,s_axis,s_correct,selected,spurious,gain_H,gain_H_u_alignment,gain_M,gain_M1_vs_M0,gain_M_diag_vs_AR1,gain_M_diag_vs_SS,gain_M_k_best,gain_M_null_q95,gain_N,gain_N_null_linear_q95,gain_N_null_q95,gain_N_null_wiener_q95,gain_S,gain_S_null_q95,gain_S_q_frac,sw_mae,sw_matched,sw_n_planted,sw_n_recovered,sw_precision,sw_recall
300,0,0,0,1,1.0,0,wiener,M1,0.05,0,0,1,1,M1,0,-0.0029,0.2551,-0.7084,0.8739,-0.0698,-0.0355,1.0,-0.5023,-0.7242,-0.0904,0.1209,0.1209,0.827,0.5799,0.7177,,,,,,
300,0,0,0,1,1.0,0,wiener,M1,0.05,0,1,1,1,M1,0,-0.0318,0.0685,-0.0219,0.9126,-0.0693,-0.115,2.0,0.0229,-0.0545,0.0095,0.0121,0.0121,0.6837,0.0047,0.7282,,,,,,
300,1,0,0,0,1.0,0,wiener,M1,0.3,0,0,0,0,M1+H,1,0.0321,0.1269,-0.0067,0.4479,-0.0151,-0.0433,1.0,0.0042,-0.0223,0.0212,0.0227,0.0227,0.1789,0.0265,0.4181,,,,,,
300,0,0,0,1,1.0,0,wiener,M1,0.3,0,1,1,1,M1,0,0.0293,0.1738,-0.0048,0.8067,0.0264,-0.0319,2.0,0.0088,-0.0031,0.0115,0.0228,0.0228,0.443,-0.0009,0.5029,,,,,,
600,0,0,0,1,1.0,0,wiener,M1,0.05,0,0,1,1,M1,0,-0.0403,0.0804,-0.404,0.989,-0.0683,-0.0488,1.0,-0.2948,-0.0304,-0.0018,0.0544,0.0544,0.9393,0.0798,0.8073,,,,,,
600,0,0,0,1,1.0,0,wiener,M1,0.05,0,1,1,1,M1,0,-0.007,0.1396,-0.0118,0.8874,-0.016,-0.0154,1.0,0.0067,-0.0021,0.0108,0.0245,0.0245,0.6093,-0.0427,0.7222,,,,,,
600,0,0,0,1,1.0,0,wiener,M1,0.3,0,0,0,0,M1,0,0.0136,0.0011,0.0205,0.651,0.0228,0.0035,1.0,0.0041,-0.0035,0.0053,0.0088,0.0088,0.147,0.004,0.4364,,,,,,
600,0,0,0,1,1.0,0,wiener,M1,0.3,0,1,0,0,M1,0,0.0078,0.0996,0.0013,0.3618,0.0425,-0.0193,1.0,0.0039,-0.0151,0.0088,0.0161,0.0161,0.2452,0.0025,0.452,,,,,,
300,0,0,0,0,1.0,1,wiener,M1+N,0.05,0,0,1,1,M1,0,-0.0087,0.1134,-0.7546,0.5999,-0.0731,0.0355,2.0,-0.0016,0.0038,0.0102,0.1249,0.1249,0.9984,0.0066,0.7122,,,,,,
300,0,0,0,0,1.0,1,wiener,M1+N,0.05,0,1,1,1,M1,0,0.0157,0.107,-1.9791,0.9132,-0.1465,-0.0983,1.0,-0.0434,-1.7708,-0.0141,0.0877,0.0877,0.9979,0.9682,0.8327,,,,,,
