world,arm,logging,T,alpha,replicas,seed,reconciliation,n_obs,decl_elected,decl_reason,decl_n_warranting,decl_n_appearing,decl_n_props,decl_n_conflicts,decl_APPLICABLE,decl_OUT_OF_SCOPE,decl_AGED,decl_UNEVALUABLE,aged_inside_window,sstar_kind,n_supporting,n_contradicting,supp_seq_min,supp_seq_max,contra_seq_min,contra_seq_max,order_legible,decay_strategy,decay_better_share,decay_weight_sstar,current_strategy,current_counted,current_excluded,p2_hits,p2_total,p4_tp,p4_fp,p4_fn,p4_branch_ok,p4_returned_ok,p4_n_aged_pre_tau1,p4_branch_expected,p4b_all_excluded,p5_divergent,confusion_json
A,A-logged,logged,40,strict,1,1,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,22,12,0,39,6,38,True,s_star,0.55,0.55,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,2,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,22,13,0,30,2,39,True,s_star,0.55,0.55,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,3,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,24,12,0,39,2,38,True,s_star,0.6,0.6,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,4,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,17,12,1,39,6,38,True,s_star,0.425,0.425,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,5,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,23,10,2,38,0,39,True,s_star,0.575,0.575,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,6,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,23,10,0,37,14,39,True,s_star,0.575,0.575,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,7,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,24,11,0,39,7,38,True,s_star,0.6,0.6,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,8,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,28,8,0,39,3,37,True,s_star,0.7,0.7,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,9,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,18,11,1,39,3,33,True,s_star,0.45,0.45,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,10,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,22,11,1,37,2,39,True,s_star,0.55,0.55,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,11,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,24,10,0,39,12,36,True,s_star,0.6,0.6,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,12,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,23,7,0,38,20,39,True,s_star,0.575,0.575,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,13,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,18,13,3,38,2,36,True,s_star,0.45,0.45,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,14,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,21,12,1,37,0,39,True,s_star,0.525,0.525,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,15,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,26,8,0,39,1,31,True,s_star,0.65,0.65,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,16,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,19,12,0,34,9,39,True,s_star,0.475,0.475,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,17,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,24,12,1,37,0,39,True,s_star,0.6,0.6,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,18,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,20,13,0,38,11,39,True,s_star,0.5,0.5,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
A,A-logged,logged,40,strict,1,19,,40,,out_of_scope_or_aged,40,0,1,1,40,0,0,0,0,B,20,14,0,32,6,39,True,s_star,0.5,0.5,s_star,40,0,0,0,,,,,,,,,True,"{""aged_or_applicable>APPLICABLE"": 40}"
